temperature_midi,humidity_midi,wind_midi,wind_norm,pressure_midi,rain_hits
64.38461538461539,57.30769230769231,41.61538461538461,0.4175,50.0,0
64.61538461538461,58.53846153846154,40.0,0.325,50.0,0
64.0,59.0,39.23076923076923,0.2325,50.61538461538461,0
64.6923076923077,59.0,40.69230769230769,0.37,52.0,0
64.0,58.84615384615385,39.46153846153846,0.37,50.30769230769231,0
64.46153846153847,58.07692307692308,38.0,0.185,50.0,0
64.0,59.0,39.53846153846154,0.2325,50.0,0
64.23076923076923,59.0,40.0,0.325,50.0,1
64.0,58.53846153846154,40.0,0.27749999999999997,50.0,0
63.07692307692308,58.07692307692308,40.0,0.325,50.0,0
62.76923076923077,58.69230769230769,42.76923076923077,0.51,48.15384615384615,0
64.0,57.15384615384615,44.84615384615385,0.6025,45.0,0
64.0,56.53846153846154,45.76923076923077,0.6475,43.0,0
62.30769230769231,57.0,45.15384615384615,0.6475,43.0,0
62.92307692307692,56.38461538461539,43.46153846153846,0.5549999999999999,43.0,0
62.0,57.0,44.84615384615385,0.5549999999999999,43.0,0
62.61538461538461,56.23076923076923,44.23076923076923,0.5549999999999999,44.84615384615385,5
62.0,57.0,43.61538461538461,0.51,45.0,0
61.84615384615385,56.38461538461539,43.15384615384615,0.51,45.0,0
62.0,57.15384615384615,42.30769230769231,0.4175,45.0,6
62.0,57.30769230769231,40.0,0.325,45.0,2
62.46153846153846,59.0,39.38461538461539,0.325,44.69230769230769,0
64.0,59.0,43.0,0.4175,41.84615384615385,6
64.0,57.46153846153846,44.38461538461539,0.5549999999999999,42.53846153846154,0
63.07692307692308,59.23076923076923,40.23076923076923,0.4625,43.0,0
62.61538461538461,59.15384615384615,38.0,0.185,42.76923076923077,0
63.69230769230769,59.0,41.38461538461539,0.4175,40.0,9
64.0,59.0,40.0,0.325,42.76923076923077,11
62.15384615384615,59.23076923076923,38.15384615384615,0.2325,44.84615384615385,0
62.76923076923077,59.07692307692308,38.46153846153846,0.27749999999999997,45.0,0
63.38461538461539,59.0,42.84615384615385,0.6025,44.69230769230769,5
64.53846153846153,59.0,47.0,0.74,41.15384615384615,11
65.15384615384616,57.46153846153846,46.30769230769231,0.7875,40.0,0
65.15384615384616,58.69230769230769,41.69230769230769,0.5549999999999999,40.46153846153846,0
65.0,59.0,39.53846153846154,0.325,43.0,7
64.07692307692308,58.69230769230769,41.61538461538461,0.37,43.0,0
64.07692307692308,58.07692307692308,41.15384615384615,0.37,43.76923076923077,0
64.0,58.07692307692308,40.46153846153846,0.37,42.07692307692308,0
64.53846153846153,57.61538461538461,39.23076923076923,0.27749999999999997,42.76923076923077,0
63.07692307692308,59.0,38.15384615384615,0.2325,42.30769230769231,0
63.69230769230769,59.07692307692308,38.0,0.185,43.61538461538461,0
64.15384615384616,59.0,38.0,0.185,45.0,9
64.53846153846153,59.0,38.0,0.1375,45.92307692307692,3
64.15384615384616,59.30769230769231,38.0,0.1375,47.0,1
64.6923076923077,59.53846153846154,38.0,0.185,45.0,13
64.3076923076923,59.69230769230769,38.0,0.1375,45.0,11
65.0,59.0,38.61538461538461,0.2325,45.0,0
65.0,58.69230769230769,41.38461538461539,0.4625,44.23076923076923,0
65.0,59.0,43.38461538461539,0.51,42.07692307692308,5
65.0,59.0,42.07692307692308,0.5549999999999999,40.0,7
65.0,59.07692307692308,45.0,0.6025,40.0,10
64.92307692307692,59.0,45.92307692307692,0.74,40.0,13
65.0,59.0,46.38461538461539,0.74,40.0,13
65.0,59.0,45.92307692307692,0.6950000000000001,40.0,13
65.0,59.0,45.0,0.6025,40.0,7
65.0,58.38461538461539,45.15384615384615,0.6475,40.0,3
64.92307692307692,59.0,45.92307692307692,0.6475,40.69230769230769,6
64.3076923076923,59.0,42.46153846153846,0.51,43.0,8
64.0,59.0,40.0,0.325,43.0,2
64.0,57.15384615384615,42.61538461538461,0.6025,42.07692307692308,0
64.07692307692308,58.84615384615385,48.15384615384615,0.7875,39.07692307692308,16
64.53846153846153,59.0,42.07692307692308,0.6475,38.92307692307692,4
64.46153846153847,59.0,38.0,0.185,40.46153846153846,0
64.0,59.0,38.76923076923077,0.27749999999999997,43.0,0
64.0,58.38461538461539,42.30769230769231,0.4175,42.53846153846154,0
64.0,57.61538461538461,43.0,0.4625,40.0,4
64.61538461538461,59.0,44.07692307692308,0.5549999999999999,40.0,13
65.0,59.0,44.23076923076923,0.6025,40.23076923076923,8
65.0,58.38461538461539,40.46153846153846,0.37,43.0,1
64.92307692307692,59.0,39.23076923076923,0.2325,43.0,2
64.38461538461539,59.46153846153846,40.0,0.27749999999999997,43.0,0
64.46153846153847,59.38461538461539,43.69230769230769,0.5549999999999999,43.0,4
64.0,59.0,45.0,0.5549999999999999,43.0,1
64.0,59.0,45.0,0.6025,43.0,6
64.0,59.92307692307692,43.46153846153846,0.51,41.61538461538461,13
64.07692307692308,59.46153846153846,43.0,0.4175,40.0,5
64.0,59.0,40.0,0.325,40.0,6
